hrrnum,mean_price,sd,p25,p50,p75,volume,share_HOPD,share_aboveRP,cv,p7525_ratio,cv
113,1005.906,1074.565,465,637,1033.72,50915,0.2281842,0.1575567,1.068257,2.223053763,1.068255881
115,872.6925,824.9111,450,522,787.5,4875,0.2162051,0.1524103,0.9452483,1.75,0.945248298
116,860.3151,967.9857,430,513.1,714,15201,0.1105848,0.1045326,1.125152,1.660465116,1.125152517
118,998.1184,914.8912,470.51,684,1136,49959,0.2224024,0.1455994,0.9166158,2.414401394,0.916615904
119,913.1553,976.1953,453,520,785,14773,0.163677,0.1329452,1.069035,1.732891832,1.069035355
120,1138.266,909.1256,649,752.94,1336.9,3577,0.3312832,0.2063181,0.7986935,2.059938367,0.798693451
122,1125.169,1348.707,510,645,948,5224,0.1190659,0.1544793,1.19867,1.858823529,1.1986706
123,1046.227,840.1243,600,720,1120.95,31235,0.2336802,0.1671522,0.8030038,1.86825,0.803003841
124,1454.336,1225.088,791,1071,1606.5,8309,0.1872668,0.3180888,0.8423697,2.030973451,0.842369301
127,1358.296,1242.21,645,876,1513.75,39401,0.2988757,0.2512627,0.9145356,2.346899225,0.914535565
129,921.1168,1021.526,437,505,757.5,4096,0.1787109,0.1538086,1.109008,1.733409611,1.109008108
130,1117.542,1226.549,426,585,1233,66898,0.2485276,0.2256121,1.097542,2.894366197,1.097541748
131,1055.596,1008.365,410,600,1525,4029,0.2707868,0.2578804,0.9552565,3.719512195,0.955256556
133,1945.96,2468.637,560,795,2017.5,1503,0.3905522,0.3399867,1.268596,3.602678571,1.268595963
134,1424.971,1753.891,520,712,1125,8797,0.2724793,0.215869,1.230826,2.163461538,1.23082575
137,889.717,863.1793,469.1,522,783,6526,0.1699356,0.1532332,0.9701728,1.669153699,0.970172875
139,774.6659,894.788,432,486,694.08,10582,0.1030996,0.0805141,1.155063,1.606666667,1.155063105
140,1622.04,1169.436,599,1300.995,2266.06,8142,0.555883,0.45296,0.7209658,3.783071786,0.720966191
141,995.6765,1024.905,484,585,900,33434,0.2364659,0.1572052,1.029355,1.859504132,1.029355418
142,2652.483,1182.686,1920.79,2466.4,3276.8,3543,0.9364945,0.8876658,0.4458789,1.705964733,0.445878824
144,1129.413,982.8794,500,667,1563,138595,0.2774631,0.2587395,0.8702571,3.126,0.87025685
145,1396.763,1024.613,601,961.5,1845,10455,0.433955,0.3761837,0.7335625,3.069883527,0.73356253
146,1642.304,874.6843,700,1736.34,2150.8,3076,0.7048115,0.6173602,0.5325958,3.072571429,0.532595853
147,1726.675,1274.768,500,1559,2600,12546,0.5906265,0.5197673,0.7382791,5.2,0.738279062
148,1142.337,1175.37,525,525,1144.5,5366,0.2677972,0.2165486,1.028917,2.18,1.028917036
149,1490.453,1602.376,500,539,1920.75,10769,0.3350357,0.2969635,1.075094,3.8415,1.075093277
150,1641.784,1040.006,880,1415.165,2130,746,0.5134048,0.4678284,0.6334606,2.420454545,0.633460918
