hrrnum,mean_price,sd,p25,p50,p75,volume,share_HOPD,share_aboveRP,cv,p7525_ratio,cv
374,1901.385,1173.785,1003.5,1887.99,2412.98,1257,0.7565632,0.7008751,0.6173314,2.404564026,0.617331577
375,986.7468,1261.136,419,428.84,948,1489,0.2827401,0.1531229,1.278075,2.262529833,1.278074578
376,1215.25,1326.108,425,670.72,1404.9,2213,0.2747402,0.2340714,1.091223,3.305647059,1.091222382
377,1086.523,689.0591,635,891.01,1282,14966,0.5187759,0.1544167,0.6341874,2.018897638,0.634187311
379,865.9912,608.8445,548.63,697,1000.5,17992,0.1259449,0.0807025,0.7030608,1.823633414,0.703060839
380,1393.266,1082.481,565,1008,1985.02,22165,0.4805775,0.3537559,0.7769379,3.513309735,0.776937785
382,1994.647,2128.077,612,891,2628.49,1659,0.46956,0.3532248,1.066894,4.294918301,1.066894042
383,1702.614,1182.253,968.25,1181.25,2178.4,5107,0.3434502,0.4595653,0.6943756,2.249832171,0.694375237
385,1397.446,690.8337,925,1218,1591.5,36584,0.2155314,0.2905915,0.4943544,1.720540541,0.494354487
386,1605.355,1410.157,580,900.85,2149,7379,0.4298685,0.370782,0.8784083,3.705172414,0.878408203
388,1334.174,1519.798,617,753.8,1065.5,1270,0.2259842,0.1732284,1.13913,1.726904376,1.139130278
390,967.8599,683.8672,571.42,675,1181.25,9467,0.3315728,0.1780923,0.7065767,2.067218508,0.706576644
391,1562.567,966.6516,784,1372,1959,111096,0.2913876,0.419295,0.6186306,2.49872449,0.618630497
393,1219.774,1290.919,566,571,1464,6814,0.3406222,0.2425888,1.058326,2.586572438,1.058326378
394,1299.248,927.8478,676,1008,1626.01,55312,0.1952198,0.2759257,0.7141423,2.405340237,0.714142181
396,2142.927,1669.492,804,1582.5,3123.42,1615,0.6551083,0.5108359,0.7790711,3.884850746,0.779070869
397,1372.111,1171.25,700,965,1627.12,141626,0.3331451,0.2965133,0.8536117,2.324457143,0.853611698
399,2193.024,1195.742,1273,1897.865,2707.5,2046,0.5791789,0.6808407,0.5452483,2.126865672,0.545248023
400,2300.977,1724.333,690.5,2129.1,3489.035,3536,0.6003959,0.5602375,0.7493917,5.052910934,0.749391671
402,2614.305,1287.741,1910.76,2443.825,3135.48,2660,0.8545113,0.8530075,0.492575,1.640959618,0.492574891
406,2606.901,1382.981,1362,2652,3569.03,2701,0.850796,0.7345428,0.5305077,2.620433186,0.530507679
411,2486.586,1321.509,1616.34,2236.65,3156,1266,0.9526066,0.7993681,0.5314552,1.952559486,0.531455176
412,911.5875,759.493,472,599,1017,51225,0.180693,0.1543387,0.8331542,2.154661017,0.83315425
413,1569.002,1018.292,938,1250,1909.49,3369,0.5865242,0.3790442,0.6490064,2.035703625,0.649006184
416,1878.254,1263.306,908.73,1600.72,2384.625,4956,0.7479823,0.539548,0.6725959,2.624129279,0.672595932
417,2333.353,1599.08,1387.5,1839.68,3082.31,1857,0.7905223,0.7345181,0.6853144,2.221484685,0.685314224
418,1334.011,1312.861,505.59,770,1513.88,3183,0.5054979,0.2529061,0.9841461,2.994283906,0.984145558
420,1539.75,955.8344,932,1316,1747.04,1270,0.2125984,0.2685039,0.6207726,1.874506438,0.620772463
421,1450.016,876.3137,843.4,1206.12,1764.41,3447,0.8561068,0.3330432,0.6043478,2.092020394,0.604347607
422,1083.735,665.9594,637.74,900,1323.23,4045,0.9300371,0.1913473,0.614504,2.074873773,0.614503915
423,1175.783,818.1309,680,908.28,1359.66,18309,0.7187722,0.2141024,0.695818,1.9995,0.695817936
424,2529.461,1237.549,1829.82,2339.055,2838.14,1658,0.9752714,0.8576598,0.489254,1.551048737,0.489254035
426,1196.559,841.0895,597,910.5,1650,36283,0.2720282,0.2930022,0.7029235,2.763819095,0.70292355
427,1558.849,987.7794,807,1210.5,2103.95,3624,0.9208058,0.3981788,0.6336594,2.607125155,0.63365945
428,2075.351,1590.398,817,1409.91,2935.46,454,0.7841409,0.4471366,0.7663273,3.592974296,0.766327238
429,1783.559,1065.297,1131,1586,2367.87,1765,0.8589235,0.5456091,0.5972871,2.093607427,0.597287222
430,1428.533,1405.162,503,650,2196.07,3494,0.3749284,0.3262736,0.9836401,4.365944334,0.98363986
431,2139.164,1592.733,789,1803.75,2959,6484,0.661166,0.6115053,0.7445583,3.750316857,0.744558622
432,2133.83,1667.422,817,1486.45,2906.82,6042,0.5617345,0.4983449,0.7814224,3.557919217,0.781422138
435,1721.73,987.5608,1196.53,1451.57,2189.32,3504,0.7363014,0.4560502,0.5735862,1.829724286,0.573586335
437,1265.353,888.1846,732,985,1398.65,4443,0.2219221,0.2113437,0.7019262,1.910724044,0.70192634
438,962.4151,696.6461,648,705,1002,1277,0.1769773,0.1205951,0.723852,1.546296296,0.723852005
439,1276.03,968.7456,661,910.5,1592,27927,0.2742149,0.2578508,0.7591871,2.408472012,0.759187166
440,1296.813,1146.347,600,789,1550,6685,0.3289454,0.2596859,0.8839719,2.583333333,0.883972477
441,1125.961,1069.016,631,637,983.72,4824,0.24233,0.1863599,0.9494249,1.558985737,0.949425424
442,1107.08,1002.223,635,685,985.15,568,0.2323944,0.1707747,0.9052849,1.551417323,0.905285074
443,2009.764,1516.537,774.71,1572.395,2755.77,4362,0.7863365,0.5176525,0.7545848,3.557163326,0.754584618
444,3117.577,2024.688,1471.4,3037.245,4351.16,2406,0.8038238,0.7443891,0.6494428,2.95715645,0.64944282
445,1875.93,1194.568,1066.17,1595.86,2430,1382,0.9428365,0.5376266,0.6367872,2.279186246,0.636787087
446,1841.853,806.2373,1364,1466.51,2121.14,6860,0.9392128,0.4734694,0.4377316,1.555087977,0.437731621
447,2608.526,970.3484,1967.3,2455.26,3043,12145,0.9707699,0.9284479,0.3719911,1.546790017,0.371991078
448,2849.089,1422.746,1820.61,2538.42,3490.65,1585,0.985489,0.8681388,0.4993688,1.91729695,0.499368746
449,2671.231,1140.239,1968.99,2512.3,3214.23,6381,0.7718226,0.8879486,0.426859,1.632425761,0.426859002
450,2558.977,1111.476,1883.61,2257.5,2940.32,2167,0.7069682,0.9455469,0.434344,1.561002543,0.43434388
451,2437.842,1341.956,1169.52,2475,3271.78,90186,0.6611558,0.6797951,0.5504686,2.797540871,0.550468816
452,1987.753,847.9051,1426.45,1857,2247.005,4248,0.9821092,0.6485405,0.4265647,1.575242735,0.426564618
456,2184.647,990.2557,1565,1890.48,2553.24,1220,0.3877049,0.8770492,0.4532794,1.631463259,0.4532795
457,2438.138,1271.05,1377.9,2332,2970.18,971,0.3388259,0.7250258,0.5213201,2.155584585,0.521319958
,1482.764,1225.954,575,1091,1964,19698,0.5625952,0.3419636,0.8268031,3.415652174,0.826803186
